STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
CAPITL,2021/06/01 00:51:00,45,0.00,100,3
CAPITL,2021/06/01 01:00:00,45,0.0,100,3
CAPITL,2021/06/01 01:51:00,44,0.00,100,0
CAPITL,2021/06/01 02:51:00,46,0.00,100,0
CAPITL,2021/06/01 03:51:00,45,0.00,100,3
CAPITL,2021/06/01 04:00:00,45,0.0,100,3
CAPITL,2021/06/01 04:51:00,47,0.00,100,3
CAPITL,2021/06/01 05:51:00,48,0.00,96,5
CAPITL,2021/06/01 06:51:00,51,0.00,89,7
CAPITL,2021/06/01 07:00:00,51,0.0,89,7
CAPITL,2021/06/01 07:51:00,53,0.0,80,8
CAPITL,2021/06/01 08:51:00,58,0.0,70,0
CAPITL,2021/06/01 09:51:00,62,0.00,65,6
CAPITL,2021/06/01 10:00:00,62,0.0,65,6
CAPITL,2021/06/01 10:51:00,65,0.00,54,6
CAPITL,2021/06/01 11:51:00,69,0.00,47,3
CAPITL,2021/06/01 12:51:00,71,0.00,42,5
CAPITL,2021/06/01 13:00:00,71,0.0,42,5
CAPITL,2021/06/01 13:51:00,72,0.00,37,3
CAPITL,2021/06/01 14:51:00,71,0.00,42,6
CAPITL,2021/06/01 15:51:00,73,0.00,38,0
CAPITL,2021/06/01 16:00:00,73,0.0,38,0
CAPITL,2021/06/01 16:51:00,73,0.00,40,6
CAPITL,2021/06/01 17:51:00,71,0.00,44,7
CAPITL,2021/06/01 18:51:00,69,0.00,49,6
CAPITL,2021/06/01 19:00:00,69,0.0,49,6
CAPITL,2021/06/01 19:51:00,65,0.00,56,3
CAPITL,2021/06/01 20:51:00,59,0.00,72,0
CAPITL,2021/06/01 21:51:00,57,0.00,81,0
CAPITL,2021/06/01 22:00:00,57,0.0,81,0
CAPITL,2021/06/01 22:51:00,55,0.00,87,3
CAPITL,2021/06/01 23:51:00,51,0.00,96,0
CAPITL,2021/06/02 00:51:00,50,0.00,100,0
CAPITL,2021/06/02 01:00:00,50,0.0,100,0
CAPITL,2021/06/02 01:51:00,49,0.00,100,0
