STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
CENTRL,2021/06/01 00:54:00,53,0.00,66,3
CENTRL,2021/06/01 01:00:00,53,0.0,66,3
CENTRL,2021/06/01 01:54:00,54,0.00,67,3
CENTRL,2021/06/01 02:54:00,54,0.00,69,3
CENTRL,2021/06/01 03:54:00,56,0.00,65,0
CENTRL,2021/06/01 04:00:00,56,0.0,65,0
CENTRL,2021/06/01 04:54:00,54,0.00,72,3
CENTRL,2021/06/01 05:54:00,55,0.00,72,0
CENTRL,2021/06/01 06:54:00,61,0.00,60,0
CENTRL,2021/06/01 07:00:00,61,0.0,60,0
CENTRL,2021/06/01 07:54:00,63,0.00,52,0
CENTRL,2021/06/01 08:54:00,67,0.00,42,0
CENTRL,2021/06/01 09:54:00,70,0.00,38,3
CENTRL,2021/06/01 10:00:00,70,0.0,38,3
CENTRL,2021/06/01 10:54:00,73,0.00,35,10
CENTRL,2021/06/01 11:54:00,76,0.00,33,6
CENTRL,2021/06/01 12:54:00,77,0.00,31,6
CENTRL,2021/06/01 13:00:00,77,0.0,31,6
CENTRL,2021/06/01 13:54:00,75,0.00,32,11
CENTRL,2021/06/01 14:54:00,76,0.00,32,5
CENTRL,2021/06/01 15:54:00,77,0.00,31,8
CENTRL,2021/06/01 16:00:00,77,0.0,31,8
CENTRL,2021/06/01 16:54:00,75,0.00,32,8
CENTRL,2021/06/01 17:54:00,76,0.00,31,9
CENTRL,2021/06/01 18:54:00,72,0.00,40,6
CENTRL,2021/06/01 19:00:00,72,0.0,40,6
CENTRL,2021/06/01 19:54:00,68,0.00,44,0
CENTRL,2021/06/01 20:54:00,63,0.00,56,0
CENTRL,2021/06/01 21:54:00,61,0.00,58,0
CENTRL,2021/06/01 22:00:00,61,0.0,58,0
CENTRL,2021/06/01 22:54:00,59,0.00,67,3
CENTRL,2021/06/01 23:54:00,58,0.00,67,3
CENTRL,2021/06/02 00:54:00,56,0.00,72,3
CENTRL,2021/06/02 01:00:00,56,0.0,72,3
CENTRL,2021/06/02 01:54:00,55,0.00,74,5
CENTRL,2021/06/02 02:54:00,53,0.00,77,5
CENTRL,2021/06/02 03:54:00,53,0.00,80,0
