STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
DUNWOD,2021/06/01 00:51:00,59,0.00,78,0
DUNWOD,2021/06/01 01:00:00,59,0.0,78,0
DUNWOD,2021/06/01 01:51:00,58,0.00,84,0
DUNWOD,2021/06/01 02:51:00,58,0.00,81,0
DUNWOD,2021/06/01 03:51:00,58,0.00,78,0
DUNWOD,2021/06/01 04:00:00,58,0.0,78,0
DUNWOD,2021/06/01 04:51:00,57,0.00,83,0
DUNWOD,2021/06/01 05:51:00,59,0.00,81,0
DUNWOD,2021/06/01 06:51:00,62,0.00,67,0
DUNWOD,2021/06/01 07:00:00,62,0.0,67,0
DUNWOD,2021/06/01 07:51:00,65,0.00,61,0
DUNWOD,2021/06/01 08:51:00,68,0.00,47,5
DUNWOD,2021/06/01 09:51:00,72,0.00,46,0
DUNWOD,2021/06/01 10:00:00,72,0.0,46,0
DUNWOD,2021/06/01 10:51:00,73,0.00,41,5
DUNWOD,2021/06/01 11:51:00,76,0.00,33,6
DUNWOD,2021/06/01 12:51:00,75,0.00,34,9
DUNWOD,2021/06/01 13:00:00,75,0.0,34,9
DUNWOD,2021/06/01 13:51:00,76,0.00,33,8
DUNWOD,2021/06/01 14:51:00,78,0.00,29,6
DUNWOD,2021/06/01 15:51:00,76,0.00,42,14
DUNWOD,2021/06/01 16:00:00,76,0.0,42,14
DUNWOD,2021/06/01 16:51:00,74,0.00,40,17
DUNWOD,2021/06/01 17:51:00,73,0.00,43,15
DUNWOD,2021/06/01 18:51:00,70,0.00,51,10
DUNWOD,2021/06/01 19:00:00,70,0.0,51,10
DUNWOD,2021/06/01 19:51:00,68,0.00,57,10
DUNWOD,2021/06/01 20:51:00,67,0.00,61,7
DUNWOD,2021/06/01 21:51:00,68,0.00,59,13
DUNWOD,2021/06/01 22:00:00,68,0.0,59,13
DUNWOD,2021/06/01 22:51:00,68,0.00,53,10
DUNWOD,2021/06/01 23:51:00,67,0.00,53,9
DUNWOD,2021/06/02 00:51:00,66,0.00,52,8
DUNWOD,2021/06/02 01:00:00,66,0.0,52,8
DUNWOD,2021/06/02 01:51:00,65,0.00,56,6
DUNWOD,2021/06/02 02:51:00,64,0.00,60,9
DUNWOD,2021/06/02 03:51:00,63,0.00,65,0
DUNWOD,2021/06/02 04:00:00,63,0.0,65,0
DUNWOD,2021/06/02 04:51:00,63,0.00,68,0
DUNWOD,2021/06/02 05:51:00,63,0.00,68,5
DUNWOD,2021/06/02 06:51:00,67,0.00,61,0
DUNWOD,2021/06/02 07:51:00,69,0.00,59,6
DUNWOD,2021/06/02 08:51:00,71,0.00,57,5
DUNWOD,2021/06/02 09:51:00,73,0.00,53,6
DUNWOD,2021/06/02 10:00:00,73,0.0,53,6
DUNWOD,2021/06/02 10:51:00,75,0.00,50,8
DUNWOD,2021/06/02 11:51:00,73,0.00,53,13
DUNWOD,2021/06/02 12:51:00,72,0.00,57,11
DUNWOD,2021/06/02 13:00:00,72,0.0,57,11
DUNWOD,2021/06/02 13:51:00,72,0.00,53,11
DUNWOD,2021/06/02 14:51:00,72,0.00,52,11
DUNWOD,2021/06/02 15:51:00,69,0.00,51,15
