STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
GENESE,2021/06/01 00:54:00,55,0.00,64,7
GENESE,2021/06/01 01:00:00,55,0.0,64,7
GENESE,2021/06/01 01:54:00,55,0.00,64,6
GENESE,2021/06/01 02:54:00,56,0.00,62,6
GENESE,2021/06/01 03:54:00,54,0.00,69,6
GENESE,2021/06/01 04:54:00,55,0.00,67,5
GENESE,2021/06/01 05:54:00,55,0.00,69,5
GENESE,2021/06/01 06:54:00,57,0.00,64,6
GENESE,2021/06/01 07:00:00,57,0.0,64,6
GENESE,2021/06/01 07:54:00,62,0.00,54,7
GENESE,2021/06/01 08:54:00,65,0.00,52,7
GENESE,2021/06/01 09:54:00,68,0.00,47,6
GENESE,2021/06/01 10:54:00,71,0.00,42,10
GENESE,2021/06/01 11:54:00,74,0.00,36,9
GENESE,2021/06/01 12:54:00,75,0.00,33,14
GENESE,2021/06/01 13:00:00,75,0.0,33,14
GENESE,2021/06/01 13:54:00,76,0.00,31,14
GENESE,2021/06/01 14:54:00,74,0.00,33,10
GENESE,2021/06/01 15:54:00,75,0.00,31,7
GENESE,2021/06/01 16:54:00,76,0.00,31,11
GENESE,2021/06/01 17:54:00,74,0.00,33,9
GENESE,2021/06/01 18:54:00,72,0.00,35,6
GENESE,2021/06/01 19:00:00,72,0.0,35,6
GENESE,2021/06/01 19:54:00,66,0.00,47,7
GENESE,2021/06/01 20:54:00,61,0.00,56,6
GENESE,2021/06/01 21:54:00,59,0.00,67,3
GENESE,2021/06/01 22:54:00,58,0.00,67,0
GENESE,2021/06/01 23:54:00,56,0.00,72,3
GENESE,2021/06/02 00:54:00,55,0.00,72,3
GENESE,2021/06/02 01:00:00,55,0.0,72,3
GENESE,2021/06/02 01:54:00,53,0.00,77,0
GENESE,2021/06/02 02:54:00,52,0.00,83,5
GENESE,2021/06/02 03:54:00,52,0.00,83,3
GENESE,2021/06/02 04:54:00,51,0.00,86,6
GENESE,2021/06/02 05:54:00,54,0.00,83,5
GENESE,2021/06/02 06:54:00,58,0.00,72,7
GENESE,2021/06/02 07:54:00,63,0.00,60,5
GENESE,2021/06/02 08:54:00,69,0.00,49,0
GENESE,2021/06/02 09:54:00,73,0.00,38,3
GENESE,2021/06/02 10:54:00,74,0.00,38,6
GENESE,2021/06/02 11:54:00,76,0.00,36,6
GENESE,2021/06/02 12:54:00,76,0.00,37,0
GENESE,2021/06/02 13:00:00,76,0.0,37,0
GENESE,2021/06/02 13:54:00,75,0.00,45,13
GENESE,2021/06/02 14:54:00,75,0.00,46,11
GENESE,2021/06/02 15:54:00,74,0.00,50,9
GENESE,2021/06/02 16:54:00,73,0.00,51,8
GENESE,2021/06/02 17:54:00,71,0.00,53,5
GENESE,2021/06/02 18:54:00,70,0.0,61,3
GENESE,2021/06/02 19:00:00,70,0.0,61,3
GENESE,2021/06/02 19:54:00,67,0.00,66,7
GENESE,2021/06/02 20:54:00,69,0.00,61,8
GENESE,2021/06/02 21:54:00,68,0.00,63,7
GENESE,2021/06/02 22:54:00,65,0.0,78,7
GENESE,2021/06/02 23:54:00,63,0.01,87,3
GENESE,2021/06/03 00:54:00,63,0.02,90,0
GENESE,2021/06/03 01:00:00,63,0.0,90,0
GENESE,2021/06/03 01:54:00,63,0.01,97,3
GENESE,2021/06/03 02:54:00,63,0.02,97,3
GENESE,2021/06/03 03:54:00,63,0.02,97,3
GENESE,2021/06/03 04:54:00,63,0.02,97,3
GENESE,2021/06/03 05:09:00,63,0.01,97,0
GENESE,2021/06/03 05:52:00,63,0.0,100,3
GENESE,2021/06/03 05:54:00,63,0.04,97,3
GENESE,2021/06/03 06:25:00,63,0.0,97,0
GENESE,2021/06/03 06:35:00,63,0.0,97,5
GENESE,2021/06/03 06:52:00,63,0.0,100,0
GENESE,2021/06/03 06:54:00,63,0.01,97,0
GENESE,2021/06/03 07:00:00,63,0.0,97,0
GENESE,2021/06/03 07:02:00,63,0.0,97,0
GENESE,2021/06/03 07:09:00,63,0.02,97,0
GENESE,2021/06/03 07:54:00,64,0.02,96,0
GENESE,2021/06/03 08:54:00,66,0.00,90,5
GENESE,2021/06/03 09:52:00,66,0.0,94,0
GENESE,2021/06/03 09:54:00,67,0.0,91,0
GENESE,2021/06/03 10:17:00,68,0.0,84,7
GENESE,2021/06/03 10:52:00,68,0.0,83,6
GENESE,2021/06/03 10:54:00,68,0.01,84,7
GENESE,2021/06/03 11:54:00,70,0.0,79,10
GENESE,2021/06/03 12:54:00,71,0.0,73,11
GENESE,2021/06/03 13:00:00,71,0.0,73,11
GENESE,2021/06/03 13:54:00,73,0.00,71,11
GENESE,2021/06/03 14:54:00,73,0.00,69,10
GENESE,2021/06/03 15:54:00,71,0.00,68,15
GENESE,2021/06/03 16:54:00,71,0.00,66,11
GENESE,2021/06/03 17:54:00,71,0.00,68,10
GENESE,2021/06/03 18:54:00,68,0.00,73,8
GENESE,2021/06/03 19:00:00,68,0.0,73,8
GENESE,2021/06/03 19:54:00,66,0.00,78,5
GENESE,2021/06/03 20:54:00,65,0.00,87,3
GENESE,2021/06/03 21:54:00,63,0.00,93,3
GENESE,2021/06/03 22:54:00,62,0.00,93,6
GENESE,2021/06/03 23:54:00,62,0.00,96,5
GENESE,2021/06/04 00:54:00,62,0.00,96,0
GENESE,2021/06/04 01:00:00,62,0.0,96,0
GENESE,2021/06/04 01:54:00,61,0.00,97,6
GENESE,2021/06/04 02:54:00,60,0.00,100,5
GENESE,2021/06/04 03:54:00,60,0.00,96,5
GENESE,2021/06/04 04:54:00,59,0.00,96,5
GENESE,2021/06/04 05:54:00,62,0.00,96,7
GENESE,2021/06/04 06:54:00,66,0.00,87,9
GENESE,2021/06/04 07:00:00,66,0.0,87,9
GENESE,2021/06/04 07:54:00,69,0.00,78,14
GENESE,2021/06/04 08:54:00,71,0.00,73,11
GENESE,2021/06/04 09:54:00,74,0.00,64,6
GENESE,2021/06/04 10:54:00,76,0.00,58,8
GENESE,2021/06/04 11:54:00,78,0.00,54,8
GENESE,2021/06/04 12:54:00,79,0.00,52,14
GENESE,2021/06/04 13:00:00,79,0.0,52,14
GENESE,2021/06/04 13:54:00,80,0.00,47,14
GENESE,2021/06/04 14:54:00,79,0.00,42,15
GENESE,2021/06/04 15:54:00,81,0.00,41,13
GENESE,2021/06/04 16:54:00,80,0.00,39,17
GENESE,2021/06/04 17:54:00,78,0.00,47,16
GENESE,2021/06/04 18:54:00,76,0.00,48,14
GENESE,2021/06/04 19:00:00,76,0.0,48,14
GENESE,2021/06/04 19:54:00,73,0.00,55,10
GENESE,2021/06/04 20:54:00,69,0.00,63,7
GENESE,2021/06/04 21:54:00,68,0.00,65,6
GENESE,2021/06/04 22:54:00,66,0.00,73,8
GENESE,2021/06/04 23:54:00,69,0.00,70,8
GENESE,2021/06/05 00:54:00,69,0.00,70,13
GENESE,2021/06/05 01:00:00,69,0.0,70,13
GENESE,2021/06/05 01:54:00,66,0.00,78,9
GENESE,2021/06/05 02:54:00,66,0.00,78,9
GENESE,2021/06/05 03:54:00,66,0.00,78,10
GENESE,2021/06/05 04:54:00,69,0.00,68,13
GENESE,2021/06/05 05:54:00,72,0.00,59,11
