STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
LONGIL,2021/06/01 00:53:00,52,0.00,93,0
LONGIL,2021/06/01 01:53:00,52,0.00,89,0
LONGIL,2021/06/01 02:53:00,51,0.00,89,0
LONGIL,2021/06/01 03:53:00,52,0.00,89,0
LONGIL,2021/06/01 04:53:00,52,0.00,86,0
LONGIL,2021/06/01 05:53:00,55,0.00,90,0
LONGIL,2021/06/01 06:53:00,59,0.00,81,3
LONGIL,2021/06/01 07:53:00,65,0.00,63,3
LONGIL,2021/06/01 08:53:00,69,0.00,53,7
LONGIL,2021/06/01 09:53:00,72,0.00,46,3
LONGIL,2021/06/01 10:53:00,72,0.00,55,8
LONGIL,2021/06/01 11:53:00,74,0.00,45,7
LONGIL,2021/06/01 12:53:00,75,0.00,46,10
LONGIL,2021/06/01 13:53:00,74,0.00,46,13
LONGIL,2021/06/01 14:53:00,74,0.00,48,14
LONGIL,2021/06/01 15:53:00,72,0.00,55,10
LONGIL,2021/06/01 16:53:00,69,0.00,51,14
LONGIL,2021/06/01 17:53:00,68,0.00,53,16
LONGIL,2021/06/01 18:53:00,65,0.00,61,11
LONGIL,2021/06/01 19:53:00,64,0.00,60,10
LONGIL,2021/06/01 20:53:00,64,0.00,58,11
LONGIL,2021/06/01 21:53:00,62,0.00,67,9
LONGIL,2021/06/01 22:53:00,61,0.00,75,9
LONGIL,2021/06/01 23:53:00,61,0.00,75,8
LONGIL,2021/06/02 00:53:00,60,0.00,75,8
LONGIL,2021/06/02 01:53:00,59,0.00,81,6
LONGIL,2021/06/02 02:53:00,59,0.00,81,6
LONGIL,2021/06/02 03:53:00,58,0.00,84,3
LONGIL,2021/06/02 04:53:00,59,0.00,83,0
LONGIL,2021/06/02 05:53:00,59,0.00,83,0
LONGIL,2021/06/02 06:53:00,62,0.00,78,0
LONGIL,2021/06/02 07:53:00,66,0.00,70,0
LONGIL,2021/06/02 08:53:00,69,0.00,68,14
LONGIL,2021/06/02 09:53:00,70,0.00,66,7
LONGIL,2021/06/02 10:53:00,68,0.00,68,7
LONGIL,2021/06/02 11:53:00,69,0.00,68,10
LONGIL,2021/06/02 12:53:00,69,0.00,68,13
LONGIL,2021/06/02 13:53:00,68,0.00,68,7
LONGIL,2021/06/02 14:53:00,70,0.00,64,11
LONGIL,2021/06/02 15:53:00,67,0.00,57,11
LONGIL,2021/06/02 16:53:00,66,0.00,59,10
LONGIL,2021/06/02 17:53:00,66,0.00,59,10
LONGIL,2021/06/02 18:53:00,64,0.00,68,7
LONGIL,2021/06/02 19:53:00,63,0.00,78,8
LONGIL,2021/06/02 20:53:00,63,0.00,75,6
LONGIL,2021/06/02 21:53:00,62,0.00,78,5
LONGIL,2021/06/02 22:53:00,60,0.00,86,5
LONGIL,2021/06/02 23:17:00,60,0.0,86,3
LONGIL,2021/06/02 23:36:00,60,0.0,90,5
LONGIL,2021/06/02 23:53:00,60,0.00,90,6
LONGIL,2021/06/03 00:49:00,61,0.0,88,7
LONGIL,2021/06/03 00:53:00,61,0.00,90,7
LONGIL,2021/06/03 01:32:00,60,0.0,93,7
LONGIL,2021/06/03 01:36:00,60,0.0,93,7
LONGIL,2021/06/03 01:53:00,60,0.00,93,7
LONGIL,2021/06/03 02:11:00,60,0.0,93,7
LONGIL,2021/06/03 02:48:00,61,0.0,88,5
LONGIL,2021/06/03 02:53:00,60,0.00,93,5
LONGIL,2021/06/03 03:53:00,60,0.00,93,0
LONGIL,2021/06/03 04:53:00,60,0.00,93,3
LONGIL,2021/06/03 05:51:00,61,0.0,94,6
LONGIL,2021/06/03 05:53:00,61,0.0,93,7
LONGIL,2021/06/03 06:33:00,61,0.0,93,5
LONGIL,2021/06/03 06:51:00,61,0.0,94,6
LONGIL,2021/06/03 06:53:00,61,0.0,93,6
LONGIL,2021/06/03 07:01:00,61,0.0,93,6
LONGIL,2021/06/03 07:53:00,63,0.0,87,6
LONGIL,2021/06/03 08:01:00,63,0.0,87,8
LONGIL,2021/06/03 08:53:00,65,0.0,84,7
LONGIL,2021/06/03 09:53:00,64,0.04,90,10
LONGIL,2021/06/03 10:09:00,64,0.01,93,10
