STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
MHK VL,2021/06/01 00:56:00,57,0.00,55,7
MHK VL,2021/06/01 01:56:00,58,0.00,53,8
MHK VL,2021/06/01 02:56:00,57,0.00,58,6
MHK VL,2021/06/01 03:56:00,55,0.00,64,5
MHK VL,2021/06/01 04:56:00,55,0.00,67,3
MHK VL,2021/06/01 05:56:00,57,0.00,64,5
MHK VL,2021/06/01 06:56:00,57,0.0,69,3
MHK VL,2021/06/01 07:56:00,62,0.0,60,6
MHK VL,2021/06/01 08:56:00,67,0.00,47,5
MHK VL,2021/06/01 09:56:00,68,0.00,45,13
MHK VL,2021/06/01 10:56:00,69,0.00,44,14
MHK VL,2021/06/01 11:56:00,71,0.00,36,16
MHK VL,2021/06/01 12:56:00,72,0.00,37,15
MHK VL,2021/06/01 13:56:00,74,0.00,34,10
MHK VL,2021/06/01 14:56:00,73,0.00,35,16
MHK VL,2021/06/01 15:56:00,73,0.00,33,11
MHK VL,2021/06/01 16:56:00,73,0.00,32,11
MHK VL,2021/06/01 17:56:00,71,0.00,36,8
MHK VL,2021/06/01 18:56:00,67,0.00,44,8
MHK VL,2021/06/01 19:56:00,64,0.00,46,5
MHK VL,2021/06/01 20:56:00,61,0.00,52,5
MHK VL,2021/06/01 21:56:00,60,0.00,53,6
MHK VL,2021/06/01 22:56:00,55,0.00,64,0
MHK VL,2021/06/01 23:56:00,52,0.00,72,0
MHK VL,2021/06/02 00:56:00,54,0.00,67,0
MHK VL,2021/06/02 01:56:00,56,0.00,62,3
MHK VL,2021/06/02 02:56:00,52,0.00,69,0
MHK VL,2021/06/02 03:56:00,47,0.00,83,0
MHK VL,2021/06/02 04:56:00,47,0.00,83,0
MHK VL,2021/06/02 05:56:00,55,0.00,80,0
MHK VL,2021/06/02 06:54:00,63,0.0,59,0
MHK VL,2021/06/02 06:56:00,62,0.00,62,0
MHK VL,2021/06/02 07:56:00,70,0.00,53,3
MHK VL,2021/06/02 08:56:00,70,0.00,51,8
MHK VL,2021/06/02 09:56:00,74,0.00,43,7
MHK VL,2021/06/02 10:56:00,77,0.00,37,7
MHK VL,2021/06/02 11:56:00,79,0.00,35,9
MHK VL,2021/06/02 12:56:00,77,0.00,39,10
MHK VL,2021/06/02 13:56:00,79,0.00,36,9
MHK VL,2021/06/02 14:56:00,78,0.00,42,7
MHK VL,2021/06/02 15:56:00,76,0.00,47,6
MHK VL,2021/06/02 16:56:00,75,0.00,50,9
MHK VL,2021/06/02 17:38:00,67,0.06,79,6
MHK VL,2021/06/02 17:48:00,66,0.09,81,3
MHK VL,2021/06/02 17:54:00,66,0.0,78,5
MHK VL,2021/06/02 17:56:00,67,0.10,76,3
MHK VL,2021/06/02 18:56:00,68,0.01,76,6
MHK VL,2021/06/02 19:56:00,67,0.00,76,7
MHK VL,2021/06/02 20:56:00,65,0.00,81,8
MHK VL,2021/06/02 21:56:00,64,0.00,84,7
MHK VL,2021/06/02 22:56:00,66,0.00,78,5
MHK VL,2021/06/02 23:56:00,66,0.00,75,6
MHK VL,2021/06/03 00:56:00,66,0.00,78,6
MHK VL,2021/06/03 01:56:00,65,0.0,84,7
MHK VL,2021/06/03 02:56:00,64,0.03,90,7
MHK VL,2021/06/03 03:03:00,64,0.01,90,5
MHK VL,2021/06/03 03:41:00,63,0.01,90,0
MHK VL,2021/06/03 03:56:00,63,0.01,93,0
MHK VL,2021/06/03 04:51:00,63,0.05,94,5
MHK VL,2021/06/03 04:56:00,63,0.11,93,3
MHK VL,2021/06/03 05:04:00,63,0.05,93,5
MHK VL,2021/06/03 05:10:00,63,0.06,93,5
MHK VL,2021/06/03 05:18:00,63,0.08,93,0
MHK VL,2021/06/03 05:25:00,63,0.11,93,3
MHK VL,2021/06/03 05:46:00,63,0.15,93,0
MHK VL,2021/06/03 05:56:00,63,0.14,93,0
MHK VL,2021/06/03 06:10:00,63,0.0,97,3
MHK VL,2021/06/03 06:17:00,63,0.0,97,3
MHK VL,2021/06/03 06:42:00,63,0.01,93,0
MHK VL,2021/06/03 06:56:00,63,0.02,93,0
MHK VL,2021/06/03 07:56:00,64,0.02,90,7
MHK VL,2021/06/03 08:05:00,64,0.0,90,8
MHK VL,2021/06/03 08:16:00,64,0.0,90,6
MHK VL,2021/06/03 08:38:00,64,0.03,90,3
MHK VL,2021/06/03 08:56:00,63,0.08,93,5
MHK VL,2021/06/03 09:10:00,64,0.01,93,5
MHK VL,2021/06/03 09:25:00,64,0.01,90,5
MHK VL,2021/06/03 09:36:00,64,0.02,93,5
MHK VL,2021/06/03 09:43:00,64,0.02,93,6
MHK VL,2021/06/03 09:56:00,64,0.02,93,5
MHK VL,2021/06/03 10:56:00,65,0.0,90,6
MHK VL,2021/06/03 11:56:00,67,0.01,91,6
MHK VL,2021/06/03 12:47:00,68,0.01,87,14
MHK VL,2021/06/03 12:56:00,69,0.0,84,11
MHK VL,2021/06/03 13:06:00,68,0.0,84,10
MHK VL,2021/06/03 13:14:00,68,0.0,84,10
MHK VL,2021/06/03 13:56:00,67,0.00,84,8
MHK VL,2021/06/03 14:56:00,68,0.00,81,10
MHK VL,2021/06/03 15:56:00,66,0.00,84,7
MHK VL,2021/06/03 16:56:00,66,0.00,84,7
MHK VL,2021/06/03 17:56:00,66,0.00,84,5
MHK VL,2021/06/03 18:56:00,66,0.00,81,5
MHK VL,2021/06/03 19:56:00,65,0.00,84,6
MHK VL,2021/06/03 20:56:00,64,0.00,87,6
MHK VL,2021/06/03 21:56:00,63,0.00,90,3
MHK VL,2021/06/03 22:56:00,62,0.00,90,0
MHK VL,2021/06/03 23:56:00,61,0.00,93,3
MHK VL,2021/06/04 00:54:00,59,0.0,94,0
MHK VL,2021/06/04 00:56:00,59,0.00,93,0
MHK VL,2021/06/04 01:08:00,58,0.0,97,0
MHK VL,2021/06/04 01:20:00,59,0.0,96,0
MHK VL,2021/06/04 01:30:00,58,0.0,93,0
MHK VL,2021/06/04 01:37:00,58,0.0,93,0
MHK VL,2021/06/04 01:54:00,57,0.0,100,0
MHK VL,2021/06/04 01:56:00,59,0.00,93,0
MHK VL,2021/06/04 02:01:00,59,0.0,96,0
MHK VL,2021/06/04 02:05:00,60,0.0,93,0
MHK VL,2021/06/04 02:23:00,59,0.0,93,3
MHK VL,2021/06/04 02:32:00,60,0.0,93,0
MHK VL,2021/06/04 02:56:00,60,0.00,96,5
MHK VL,2021/06/04 03:56:00,60,0.00,96,3
MHK VL,2021/06/04 04:54:00,59,0.0,94,5
MHK VL,2021/06/04 04:56:00,60,0.00,93,3
MHK VL,2021/06/04 05:52:00,63,0.0,94,0
MHK VL,2021/06/04 05:56:00,62,0.00,93,5
MHK VL,2021/06/04 06:26:00,63,0.0,93,5
MHK VL,2021/06/04 06:56:00,64,0.00,90,8
MHK VL,2021/06/04 07:28:00,64,0.0,90,7
MHK VL,2021/06/04 07:56:00,65,0.00,87,8
MHK VL,2021/06/04 08:52:00,68,0.0,83,9
MHK VL,2021/06/04 08:56:00,68,0.00,81,10
MHK VL,2021/06/04 09:56:00,70,0.00,76,9
MHK VL,2021/06/04 10:29:00,70,0.0,76,15
MHK VL,2021/06/04 10:56:00,70,0.00,76,10
MHK VL,2021/06/04 11:56:00,70,0.00,76,16
MHK VL,2021/06/04 12:56:00,72,0.00,71,7
MHK VL,2021/06/04 13:56:00,74,0.00,64,11
