STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
MILLWD,2021/06/01 00:45:00,48,0.0,100,3
MILLWD,2021/06/01 01:45:00,48,0.0,94,6
MILLWD,2021/06/01 02:45:00,48,0.0,94,6
MILLWD,2021/06/01 03:45:00,48,0.0,94,6
MILLWD,2021/06/01 04:45:00,48,0.0,100,6
MILLWD,2021/06/01 05:45:00,50,0.0,100,6
MILLWD,2021/06/01 06:45:00,54,0.0,82,0
MILLWD,2021/06/01 07:45:00,59,0.0,68,0
MILLWD,2021/06/01 08:45:00,63,0.0,64,6
MILLWD,2021/06/01 09:45:00,68,0.0,53,0
MILLWD,2021/06/01 10:45:00,70,0.0,43,7
MILLWD,2021/06/01 11:45:00,72,0.0,44,6
MILLWD,2021/06/01 12:45:00,72,0.0,44,0
MILLWD,2021/06/01 13:45:00,75,0.0,39,9
MILLWD,2021/06/01 14:45:00,75,0.0,39,14
MILLWD,2021/06/01 15:45:00,75,0.0,41,7
MILLWD,2021/06/01 16:45:00,73,0.0,41,11
MILLWD,2021/06/01 17:45:00,73,0.0,44,8
MILLWD,2021/06/01 18:45:00,72,0.0,47,7
MILLWD,2021/06/01 19:45:00,68,0.0,56,6
MILLWD,2021/06/01 20:45:00,66,0.0,60,8
MILLWD,2021/06/01 21:45:00,64,0.0,64,6
MILLWD,2021/06/01 22:45:00,59,0.0,77,6
MILLWD,2021/06/01 23:45:00,59,0.0,77,0
MILLWD,2021/06/02 00:45:00,57,0.0,88,0
MILLWD,2021/06/02 01:45:00,55,0.0,100,0
MILLWD,2021/06/02 02:45:00,54,0.0,94,0
MILLWD,2021/06/02 03:45:00,55,0.0,94,0
MILLWD,2021/06/02 04:45:00,54,0.0,100,0
MILLWD,2021/06/02 05:45:00,57,0.0,100,0
MILLWD,2021/06/02 06:45:00,63,0.0,88,7
MILLWD,2021/06/02 07:45:00,66,0.0,78,9
MILLWD,2021/06/02 08:45:00,70,0.0,69,0
MILLWD,2021/06/02 09:45:00,73,0.0,65,6
MILLWD,2021/06/02 10:45:00,75,0.0,57,6
MILLWD,2021/06/02 11:45:00,75,0.0,57,6
MILLWD,2021/06/02 12:45:00,77,0.0,57,9
MILLWD,2021/06/02 13:45:00,70,0.0,78,14
MILLWD,2021/06/02 14:45:00,66,0.0,100,14
MILLWD,2021/06/02 15:45:00,70,0.0,88,6
MILLWD,2021/06/02 16:45:00,70,0.0,83,5
MILLWD,2021/06/02 17:45:00,72,0.0,69,0
MILLWD,2021/06/02 18:45:00,66,0.0,78,5
MILLWD,2021/06/02 19:45:00,66,0.0,68,6
MILLWD,2021/06/02 20:45:00,64,0.0,68,6
MILLWD,2021/06/02 21:45:00,64,0.0,68,6
MILLWD,2021/06/02 22:45:00,63,0.0,73,6
MILLWD,2021/06/02 23:45:00,63,0.0,73,6
MILLWD,2021/06/03 00:45:00,59,0.0,82,6
MILLWD,2021/06/03 01:45:00,61,0.0,77,9
MILLWD,2021/06/03 02:45:00,59,0.0,82,5
MILLWD,2021/06/03 03:45:00,57,0.0,94,5
MILLWD,2021/06/03 04:45:00,57,0.0,100,5
MILLWD,2021/06/03 05:45:00,59,0.0,100,0
MILLWD,2021/06/03 06:45:00,61,0.0,94,0
MILLWD,2021/06/03 07:45:00,63,0.0,88,6
MILLWD,2021/06/03 08:45:00,66,0.0,88,6
MILLWD,2021/06/03 09:45:00,64,0.0,88,6
MILLWD,2021/06/03 10:45:00,68,0.0,83,11
MILLWD,2021/06/03 11:45:00,66,0.0,88,9
MILLWD,2021/06/03 12:45:00,68,0.0,83,8
MILLWD,2021/06/03 13:45:00,68,0.0,83,8
MILLWD,2021/06/03 14:45:00,70,0.0,83,5
MILLWD,2021/06/03 15:45:00,73,0.0,74,5
MILLWD,2021/06/03 16:45:00,72,0.0,78,6
MILLWD,2021/06/03 17:45:00,70,0.0,83,6
MILLWD,2021/06/03 18:45:00,70,0.0,88,6
MILLWD,2021/06/03 19:45:00,68,0.0,100,0
MILLWD,2021/06/03 20:45:00,68,0.0,100,5
MILLWD,2021/06/03 21:45:00,68,0.0,100,0
MILLWD,2021/06/03 22:45:00,66,0.0,100,0
MILLWD,2021/06/03 23:45:00,66,0.0,100,5
MILLWD,2021/06/04 00:45:00,66,0.0,100,0
MILLWD,2021/06/04 01:45:00,66,0.0,100,0
MILLWD,2021/06/04 02:45:00,66,0.0,100,0
MILLWD,2021/06/04 03:45:00,66,0.0,100,0
MILLWD,2021/06/04 04:45:00,66,0.0,100,0
MILLWD,2021/06/04 05:45:00,66,0.0,100,6
MILLWD,2021/06/04 06:45:00,68,0.0,100,9
MILLWD,2021/06/04 07:45:00,68,0.0,100,9
MILLWD,2021/06/04 08:45:00,72,0.0,88,11
MILLWD,2021/06/04 09:45:00,73,0.0,74,5
MILLWD,2021/06/04 10:45:00,73,0.0,74,5
MILLWD,2021/06/04 11:45:00,75,0.0,69,5
MILLWD,2021/06/04 12:45:00,77,0.0,65,5
MILLWD,2021/06/04 13:45:00,75,0.0,65,5
MILLWD,2021/06/04 14:45:00,73,0.0,74,6
MILLWD,2021/06/04 15:45:00,72,0.0,78,8
MILLWD,2021/06/04 16:45:00,72,0.0,83,8
MILLWD,2021/06/04 17:45:00,72,0.0,78,8
MILLWD,2021/06/04 18:45:00,72,0.0,78,8
MILLWD,2021/06/04 19:45:00,70,0.0,83,5
MILLWD,2021/06/04 20:45:00,66,0.0,100,5
MILLWD,2021/06/04 21:45:00,64,0.0,100,0
MILLWD,2021/06/04 22:45:00,64,0.0,100,7
MILLWD,2021/06/04 23:45:00,63,0.0,100,7
MILLWD,2021/06/05 00:45:00,63,0.0,100,6
MILLWD,2021/06/05 01:45:00,63,0.0,100,0
MILLWD,2021/06/05 02:45:00,63,0.0,100,0
MILLWD,2021/06/05 03:45:00,61,0.0,100,6
MILLWD,2021/06/05 04:45:00,63,0.0,100,6
MILLWD,2021/06/05 05:45:00,64,0.0,94,6
MILLWD,2021/06/05 06:45:00,68,0.0,100,6
MILLWD,2021/06/05 07:45:00,72,0.0,83,11
MILLWD,2021/06/05 08:45:00,75,0.0,69,13
MILLWD,2021/06/05 09:45:00,81,0.0,58,11
MILLWD,2021/06/05 10:45:00,82,0.0,55,14
MILLWD,2021/06/05 11:45:00,84,0.0,55,8
MILLWD,2021/06/05 12:45:00,88,0.0,40,13
MILLWD,2021/06/05 13:45:00,90,0.0,38,16
MILLWD,2021/06/05 14:45:00,90,0.0,36,16
MILLWD,2021/06/05 15:45:00,90,0.0,36,16
MILLWD,2021/06/05 17:45:00,86,0.0,40,16
MILLWD,2021/06/05 18:45:00,84,0.0,48,9
MILLWD,2021/06/05 19:45:00,82,0.0,51,11
MILLWD,2021/06/05 20:45:00,77,0.0,61,8
MILLWD,2021/06/05 21:45:00,77,0.0,61,11
MILLWD,2021/06/05 22:45:00,77,0.0,61,11
MILLWD,2021/06/05 23:45:00,75,0.0,61,11
MILLWD,2021/06/06 00:45:00,75,0.0,61,11
