STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
N.Y.C.,2021/06/01 00:51:00,57,0.00,87,0
N.Y.C.,2021/06/01 01:51:00,57,0.00,87,0
N.Y.C.,2021/06/01 02:51:00,58,0.00,81,0
N.Y.C.,2021/06/01 03:51:00,57,0.00,74,0
N.Y.C.,2021/06/01 04:51:00,58,0.00,72,0
N.Y.C.,2021/06/01 05:51:00,58,0.00,81,5
N.Y.C.,2021/06/01 06:51:00,61,0.00,70,0
N.Y.C.,2021/06/01 07:51:00,63,0.00,60,0
N.Y.C.,2021/06/01 08:51:00,67,0.00,55,0
N.Y.C.,2021/06/01 09:51:00,69,0.00,55,3
N.Y.C.,2021/06/01 10:51:00,72,0.00,43,0
N.Y.C.,2021/06/01 11:51:00,75,0.00,39,3
N.Y.C.,2021/06/01 12:51:00,74,0.00,38,5
N.Y.C.,2021/06/01 13:51:00,74,0.00,41,
N.Y.C.,2021/06/01 14:51:00,75,0.00,37,0
N.Y.C.,2021/06/01 15:51:00,74,0.00,43,0
N.Y.C.,2021/06/01 16:51:00,72,0.00,48,5
N.Y.C.,2021/06/01 17:51:00,71,0.00,51,3
N.Y.C.,2021/06/01 18:51:00,70,0.00,53,0
N.Y.C.,2021/06/01 19:51:00,68,0.00,59,0
N.Y.C.,2021/06/01 20:51:00,68,0.00,61,3
N.Y.C.,2021/06/01 21:51:00,67,0.00,63,3
N.Y.C.,2021/06/01 22:51:00,65,0.00,63,5
N.Y.C.,2021/06/01 23:51:00,65,0.00,59,6
N.Y.C.,2021/06/02 00:51:00,64,0.00,58,5
N.Y.C.,2021/06/02 01:51:00,64,0.00,60,0
N.Y.C.,2021/06/02 02:51:00,63,0.00,65,5
N.Y.C.,2021/06/02 03:51:00,62,0.00,70,0
N.Y.C.,2021/06/02 04:51:00,62,0.00,70,0
N.Y.C.,2021/06/02 05:51:00,63,0.00,70,0
N.Y.C.,2021/06/02 06:51:00,66,0.00,68,0
N.Y.C.,2021/06/02 07:51:00,68,0.00,63,0
N.Y.C.,2021/06/02 08:51:00,71,0.00,61,0
N.Y.C.,2021/06/02 09:51:00,73,0.00,55,0
N.Y.C.,2021/06/02 10:51:00,74,0.00,57,5
N.Y.C.,2021/06/02 11:51:00,74,0.00,57,
N.Y.C.,2021/06/02 12:51:00,72,0.00,59,5
N.Y.C.,2021/06/02 13:51:00,71,0.00,57,5
N.Y.C.,2021/06/02 14:51:00,72,0.00,55,6
N.Y.C.,2021/06/02 15:51:00,68,0.00,59,6
N.Y.C.,2021/06/02 16:51:00,69,0.00,55,5
N.Y.C.,2021/06/02 17:51:00,68,0.00,57,5
N.Y.C.,2021/06/02 18:51:00,67,0.00,59,3
N.Y.C.,2021/06/02 19:51:00,65,0.00,61,3
N.Y.C.,2021/06/02 20:51:00,65,0.00,61,
N.Y.C.,2021/06/02 21:51:00,64,0.00,60,0
N.Y.C.,2021/06/02 22:51:00,64,0.00,65,3
N.Y.C.,2021/06/02 23:51:00,63,0.00,75,0
N.Y.C.,2021/06/03 00:51:00,62,0.00,78,0
N.Y.C.,2021/06/03 01:51:00,61,0.00,81,0
N.Y.C.,2021/06/03 02:51:00,60,0.00,86,0
N.Y.C.,2021/06/03 03:51:00,61,0.00,87,0
N.Y.C.,2021/06/03 04:49:00,61,0.0,88,0
N.Y.C.,2021/06/03 04:51:00,61,0.00,90,0
N.Y.C.,2021/06/03 05:51:00,62,0.00,84,0
N.Y.C.,2021/06/03 06:51:00,64,0.00,81,0
N.Y.C.,2021/06/03 07:03:00,64,0.0,81,3
N.Y.C.,2021/06/03 07:41:00,63,0.01,87,0
N.Y.C.,2021/06/03 07:49:00,63,0.0,88,5
N.Y.C.,2021/06/03 07:51:00,63,0.01,87,5
N.Y.C.,2021/06/03 08:24:00,63,0.01,93,0
N.Y.C.,2021/06/03 08:44:00,63,0.03,93,0
N.Y.C.,2021/06/03 08:49:00,63,0.0,94,0
N.Y.C.,2021/06/03 08:51:00,63,0.08,93,0
N.Y.C.,2021/06/03 09:02:00,63,0.10,93,3
N.Y.C.,2021/06/03 09:23:00,63,0.13,93,3
N.Y.C.,2021/06/03 09:51:00,64,0.10,93,0
N.Y.C.,2021/06/03 10:25:00,65,0.0,93,3
N.Y.C.,2021/06/03 10:51:00,65,0.01,93,0
N.Y.C.,2021/06/03 11:32:00,68,0.0,87,0
N.Y.C.,2021/06/03 11:40:00,68,0.0,90,0
N.Y.C.,2021/06/03 11:49:00,70,0.0,83,3
N.Y.C.,2021/06/03 11:51:00,69,0.00,87,0
N.Y.C.,2021/06/03 12:51:00,70,0.00,87,0
N.Y.C.,2021/06/03 13:06:00,71,0.0,84,3
N.Y.C.,2021/06/03 13:51:00,71,0.00,81,3
N.Y.C.,2021/06/03 14:51:00,72,0.00,82,0
N.Y.C.,2021/06/03 15:12:00,72,0.0,82,0
N.Y.C.,2021/06/03 15:51:00,73,0.00,76,5
N.Y.C.,2021/06/03 16:51:00,72,0.00,79,5
N.Y.C.,2021/06/03 17:51:00,71,0.00,81,3
N.Y.C.,2021/06/03 18:51:00,68,0.0,93,3
N.Y.C.,2021/06/03 19:08:00,68,0.03,93,0
N.Y.C.,2021/06/03 19:51:00,67,0.09,97,0
N.Y.C.,2021/06/03 20:07:00,67,0.01,97,0
N.Y.C.,2021/06/03 20:27:00,68,0.03,93,0
N.Y.C.,2021/06/03 20:37:00,68,0.04,93,0
N.Y.C.,2021/06/03 20:51:00,68,0.04,93,0
N.Y.C.,2021/06/03 21:08:00,68,0.02,93,0
N.Y.C.,2021/06/03 21:46:00,66,0.02,100,0
N.Y.C.,2021/06/03 21:51:00,67,0.02,97,0
N.Y.C.,2021/06/03 22:02:00,67,0.0,93,0
N.Y.C.,2021/06/03 22:51:00,68,0.00,93,3
N.Y.C.,2021/06/03 23:01:00,68,0.0,93,0
N.Y.C.,2021/06/03 23:30:00,68,0.0,93,6
N.Y.C.,2021/06/03 23:51:00,68,0.00,93,3
N.Y.C.,2021/06/04 00:26:00,69,0.0,93,8
N.Y.C.,2021/06/04 00:47:00,70,0.0,88,5
N.Y.C.,2021/06/04 00:51:00,69,0.00,93,3
N.Y.C.,2021/06/04 01:09:00,69,0.0,93,0
N.Y.C.,2021/06/04 01:51:00,69,0.00,93,8
N.Y.C.,2021/06/04 02:51:00,69,0.00,93,3
N.Y.C.,2021/06/04 03:51:00,69,0.00,93,5
N.Y.C.,2021/06/04 04:47:00,70,0.0,88,
N.Y.C.,2021/06/04 04:49:00,70,0.0,88,3
N.Y.C.,2021/06/04 04:51:00,69,0.00,93,0
N.Y.C.,2021/06/04 05:02:00,70,0.0,90,
N.Y.C.,2021/06/04 05:51:00,70,0.00,90,3
N.Y.C.,2021/06/04 06:51:00,70,0.00,90,3
N.Y.C.,2021/06/04 07:44:00,71,0.0,87,6
N.Y.C.,2021/06/04 07:51:00,71,0.00,84,8
N.Y.C.,2021/06/04 08:00:00,71,0.0,87,
N.Y.C.,2021/06/04 08:51:00,72,0.00,84,3
N.Y.C.,2021/06/04 08:59:00,72,0.0,84,5
N.Y.C.,2021/06/04 09:08:00,73,0.0,79,3
N.Y.C.,2021/06/04 09:51:00,73,0.00,79,6
N.Y.C.,2021/06/04 10:51:00,74,0.00,74,0
N.Y.C.,2021/06/04 11:51:00,75,0.00,74,5
N.Y.C.,2021/06/04 12:51:00,76,0.00,72,0
N.Y.C.,2021/06/04 13:51:00,77,0.00,66,0
N.Y.C.,2021/06/04 14:51:00,75,0.0,71,3
N.Y.C.,2021/06/04 15:00:00,69,0.0,76,15
N.Y.C.,2021/06/04 15:07:00,63,0.30,93,5
N.Y.C.,2021/06/04 15:14:00,64,0.33,90,6
N.Y.C.,2021/06/04 15:21:00,64,0.33,96,7
N.Y.C.,2021/06/04 15:30:00,65,0.35,93,6
N.Y.C.,2021/06/04 15:51:00,65,0.0,97,5
