STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
NORTH,2021/06/01 00:53:00,55,0.00,53,8
NORTH,2021/06/01 01:53:00,54,0.00,57,10
NORTH,2021/06/01 02:53:00,53,0.00,59,8
NORTH,2021/06/01 03:53:00,55,0.00,57,9
NORTH,2021/06/01 04:53:00,56,0.0,55,0
NORTH,2021/06/01 05:53:00,56,0.0,57,7
NORTH,2021/06/01 06:53:00,57,0.0,60,7
NORTH,2021/06/01 07:53:00,61,0.00,52,15
NORTH,2021/06/01 08:53:00,64,0.00,46,9
NORTH,2021/06/01 09:53:00,68,0.00,42,14
NORTH,2021/06/01 10:53:00,71,0.00,35,14
NORTH,2021/06/01 11:53:00,73,0.00,35,15
NORTH,2021/06/01 12:53:00,74,0.00,33,15
NORTH,2021/06/01 13:53:00,74,0.00,33,15
NORTH,2021/06/01 14:53:00,75,0.00,33,16
NORTH,2021/06/01 15:21:00,72,0.0,34,13
NORTH,2021/06/01 15:36:00,66,0.0,49,17
NORTH,2021/06/01 15:51:00,66,0.0,46,10
NORTH,2021/06/01 15:53:00,67,0.0,44,8
NORTH,2021/06/01 16:53:00,74,0.0,31,14
NORTH,2021/06/01 17:53:00,73,0.00,32,11
NORTH,2021/06/01 18:53:00,70,0.00,31,15
NORTH,2021/06/01 19:53:00,63,0.00,43,7
NORTH,2021/06/01 20:53:00,65,0.00,40,7
NORTH,2021/06/01 21:53:00,63,0.00,45,8
NORTH,2021/06/01 22:53:00,62,0.00,46,8
NORTH,2021/06/01 23:53:00,61,0.00,48,8
NORTH,2021/06/02 00:53:00,60,0.00,50,7
NORTH,2021/06/02 01:53:00,56,0.00,57,6
NORTH,2021/06/02 02:53:00,54,0.00,62,7
NORTH,2021/06/02 03:53:00,53,0.00,64,5
NORTH,2021/06/02 04:53:00,50,0.00,77,0
NORTH,2021/06/02 05:53:00,57,0.00,60,3
NORTH,2021/06/02 06:53:00,63,0.00,50,9
NORTH,2021/06/02 07:53:00,67,0.00,47,7
