STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyWindSpeed
WEST,2021/06/01 00:54:00,58,0.00,58,7
WEST,2021/06/01 01:00:00,58,0.0,58,7
WEST,2021/06/01 01:54:00,58,0.00,56,6
WEST,2021/06/01 02:54:00,58,0.00,56,3
WEST,2021/06/01 03:54:00,57,0.00,60,7
WEST,2021/06/01 04:00:00,57,0.0,60,7
WEST,2021/06/01 04:54:00,57,0.00,60,5
WEST,2021/06/01 05:55:00,59,0.0,54,7
WEST,2021/06/01 06:54:00,60,0.00,56,9
WEST,2021/06/01 07:00:00,60,0.0,56,9
WEST,2021/06/01 07:54:00,65,0.00,47,9
WEST,2021/06/01 08:54:00,68,0.00,42,9
WEST,2021/06/01 08:56:00,68,0.0,42,11
WEST,2021/06/01 09:54:00,69,0.00,42,9
WEST,2021/06/01 10:00:00,69,0.0,42,9
WEST,2021/06/01 10:54:00,71,0.00,42,11
WEST,2021/06/01 11:54:00,73,0.00,37,14
WEST,2021/06/01 12:54:00,73,0.00,35,15
WEST,2021/06/01 13:00:00,73,0.0,35,15
WEST,2021/06/01 13:54:00,74,0.00,33,15
WEST,2021/06/01 14:54:00,74,0.00,32,15
WEST,2021/06/01 15:54:00,74,0.00,33,13
WEST,2021/06/01 16:00:00,74,0.0,33,13
WEST,2021/06/01 16:54:00,73,0.00,34,14
WEST,2021/06/01 17:54:00,72,0.00,34,11
WEST,2021/06/01 18:54:00,69,0.00,38,8
WEST,2021/06/01 19:00:00,69,0.0,38,8
WEST,2021/06/01 19:54:00,65,0.00,45,8
WEST,2021/06/01 20:54:00,63,0.00,56,8
WEST,2021/06/01 21:54:00,61,0.00,58,6
WEST,2021/06/01 22:00:00,61,0.0,58,6
WEST,2021/06/01 22:54:00,60,0.00,56,6
WEST,2021/06/01 23:54:00,59,0.00,58,3
WEST,2021/06/02 00:54:00,57,0.00,60,5
WEST,2021/06/02 01:00:00,57,0.0,60,5
WEST,2021/06/02 01:54:00,54,0.00,72,5
WEST,2021/06/02 02:54:00,55,0.00,69,6
WEST,2021/06/02 03:54:00,54,0.00,72,6
WEST,2021/06/02 04:00:00,54,0.0,72,6
WEST,2021/06/02 04:54:00,54,0.00,72,6
WEST,2021/06/02 05:54:00,55,0.00,69,6
WEST,2021/06/02 06:54:00,61,0.00,58,0
WEST,2021/06/02 07:54:00,66,0.00,50,3
WEST,2021/06/02 08:54:00,71,0.00,41,5
WEST,2021/06/02 09:54:00,74,0.00,37,6
WEST,2021/06/02 10:00:00,74,0.0,37,6
WEST,2021/06/02 10:54:00,74,0.00,37,6
WEST,2021/06/02 11:54:00,77,0.00,36,0
WEST,2021/06/02 12:54:00,77,0.00,36,7
WEST,2021/06/02 12:58:00,76,0.0,39,5
