"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72519014771","2021-06-01T00:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","42","53","0.00",,"+0.00","8","66","30.20","FEW:02 160 SCT:04 180 BKN:07 210","29.76","10.00","48","110",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13006/01/21 00:54:02 METAR KSYR 010554Z 11003KT 10SM FEW160 SCT180 BKN210 12/06 A3021 RMK AO2 SLP227 T01170056 10189 20117 58001 (RC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T01:00:00","FM-12","4",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"42","53",,,"+0.00","8","66","30.20",,"29.76","9.94","48","110",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072519 32966 61103 10117 20056 30077 40227 58001 90554 333 10217 20117 555 90106=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T01:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","43","54","0.00",,,,"67","30.20","BKN:07 150 BKN:07 160","29.76","10.00","49","120",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10506/01/21 01:54:02 METAR KSYR 010654Z 12003KT 10SM BKN150 BKN160 12/06 A3021 RMK AO2 SLP228 T01220061 (RC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T02:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","44","54","0.00",,,,"69","30.20","SCT:04 110 BKN:07 150","29.77","10.00","49","110",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10506/01/21 02:54:02 METAR KSYR 010754Z 11003KT 10SM SCT110 BKN150 12/07 A3022 RMK AO2 SLP228 T01220067 (RC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T03:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","44","56","0.00",,"-0.01","3","65","30.21","BKN:07 120 OVC:08 140","29.77","10.00","50","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11106/01/21 03:54:02 METAR KSYR 010854Z 00000KT 10SM BKN120 OVC140 13/07 A3022 RMK AO2 SLP230 T01330067 53004 (RC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T04:00:00","FM-12","4",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"44","56",,,"-0.01","3","65","30.21",,"29.77","9.94","50","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06472519 32966 80000 10133 20067 30080 40230 53004 90854 555 90109=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T04:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","45","54","0.00",,,,"72","30.21","BKN:07 95 OVC:08 140","29.77","10.00","49","080",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10506/01/21 04:54:02 METAR KSYR 010954Z 08003KT 10SM BKN095 OVC140 12/07 A3022 RMK AO2 SLP229 T01220072 (RC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T05:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","46","55","0.00",,,,"72","30.23","FEW:02 110 BKN:07 140 OVC:08 250","29.79","10.00","50","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11206/01/21 05:54:02 METAR KSYR 011054Z 00000KT 10SM FEW110 BKN140 OVC250 13/08 A3024 RMK AO2 SLP238 T01280078 (RC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T06:54:00","FM-15","7",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","47","61","0.00",,"-0.04","3","60","30.25","FEW:02 110 OVC:08 180","29.81","10.00","54","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12306/01/21 06:54:02 METAR KSYR 011154Z 00000KT 10SM FEW110 OVC180 16/08 A3026 RMK AO2 SLP243 T01610083 10161 20117 53012 (BZ)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
"72519014771","2021-06-01T07:00:00","FM-12","4",,"SSE","0.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"47","61",,,"-0.04","3","60","30.25",,"29.81","9.94","54","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072519 32966 80000 10161 20083 30094 40243 53012 91154 333 10222 20117 555 90112=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-01"
