"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72529014768","2021-06-01T00:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","43","55","0.00",,"+0.01","6","64","30.22","OVC:08 140","29.61","10.00","49","240",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12606/01/21 00:54:02 METAR KROC 010554Z 24006KT 10SM OVC140 13/06 A3021 RMK AO2 SLP233 VIRGA N T01280061 10183 20128 56005 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T01:00:00","FM-12","4",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","55",,,"+0.01","6","64","30.22",,"29.58","9.94","49","240",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072529 32966 82406 10128 20061 30016 40233 56005 90554 333 10211 20100 555 90106=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T01:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","43","55","0.00",,,,"64","30.22","OVC:08 130","29.61","10.00","49","240",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10006/01/21 01:54:02 METAR KROC 010654Z 24005KT 10SM OVC130 13/06 A3021 RMK AO2 SLP233 T01280061 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T02:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","43","56","0.00",,,,"62","30.22","OVC:08 110","29.62","10.00","50","240",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11006/01/21 02:54:02 METAR KROC 010754Z 24005KT 10SM OVC110 13/06 A3022 RMK AO2 SLP235 VIRGA OHD T01330061 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T03:00:00","SHEF ","4",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHEF ","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T03:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","44","54","0.00",,"-0.01","1","69","30.22","OVC:08 120","29.62","10.00","49","230",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10606/01/21 03:54:02 METAR KROC 010854Z 23005KT 10SM OVC120 12/07 A3022 RMK AO2 SLP235 T01220067 51002 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T04:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","44","55","0.00",,,,"67","30.24","FEW:02 80 BKN:07 100 OVC:08 120","29.64","10.00","49","260",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11406/01/21 04:54:02 METAR KROC 010954Z 26004KT 10SM FEW080 BKN100 OVC120 13/07 A3024 RMK AO2 SLP242 T01280067 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T05:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","45","55","0.00",,,,"69","30.26","OVC:08 100","29.65","10.00","50","210",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10006/01/21 05:54:02 METAR KROC 011054Z 21004KT 10SM OVC100 13/07 A3025 RMK AO2 SLP246 T01280072 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T06:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","45","57","0.00",,"-0.02","0","64","30.25","BKN:07 100 OVC:08 140","29.64","10.00","51","200",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12506/01/21 06:54:02 METAR KROC 011154Z 20005KT 10SM BKN100 OVC140 14/07 A3024 RMK AO2 SLP243 T01390072 10139 20122 50006 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T07:00:00","FM-12","4",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"45","57",,,"0.02","9","64","30.25",,"29.61","9.94","51","200",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072529 32966 82005 10139 20072 30026 40243 50006 91154 333 10222 20122 555 90112=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T07:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","45","62","0.00",,,,"54","30.25","FEW:02 100 BKN:07 160","29.64","10.00","53","230",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10706/01/21 07:54:02 METAR KROC 011254Z 23006KT 10SM FEW100 BKN160 17/07 A3024 RMK AO2 SLP244 T01670072 $ (MS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T08:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","47","65","0.00",,,,"52","30.26","FEW:02 100 SCT:04 140 BKN:07 200","29.65","10.00","55","250",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11406/01/21 08:54:02 METAR KROC 011354Z 25006KT 10SM FEW100 SCT140 BKN200 18/08 A3025 RMK AO2 SLP246 T01830083 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T09:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","47","68","0.00",,"-0.00","0","47","30.25","FEW:02 140 SCT:04 200 BKN:07 250","29.64","10.00","57","260",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12006/01/21 09:54:02 METAR KROC 011454Z 26005KT 10SM FEW140 SCT200 BKN250 20/08 A3024 RMK AO2 SLP243 T02000083 50001 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T10:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","47","71","0.00",,,,"42","30.24","FEW:02 80 SCT:04 130 BKN:07 200","29.63","10.00","58","250",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11406/01/21 10:54:02 METAR KROC 011554Z 25009KT 10SM FEW080 SCT130 BKN200 22/08 A3023 RMK AO2 SLP239 T02170083 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T11:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","45","74","0.00",,,,"36","30.22","FEW:02 80 SCT:04 120 BKN:07 200","29.61","10.00","58","260",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11406/01/21 11:54:02 METAR KROC 011654Z 26008KT 10SM FEW080 SCT120 BKN200 23/07 A3021 RMK AO2 SLP233 T02330072 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T12:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","44","75","0.00",,"+0.04","8","33","30.20","FEW:02 80 SCT:04 110 BKN:07 200","29.60","10.00","58","270","24","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13506/01/21 12:54:02 METAR KROC 011754Z 27012G21KT 10SM FEW080 SCT110 BKN200 24/07 A3020 RMK AO2 SLP228 T02390067 10239 20139 58015 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T13:00:00","FM-12","4",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"44","75",,,"+0.04","8","33","30.20","74","29.57","9.94","58","270",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08672529 32866 62712 10239 20067 30013 40228 58015 91754 333 10239 20139 91021 555 90118=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T13:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.19","43","76","0.00",,,,"31","30.19","FEW:02 80 SCT:04 100 BKN:07 200","29.59","10.00","58","270","23","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11706/01/21 13:54:02 METAR KROC 011854Z 27012G20KT 10SM FEW080 SCT100 BKN200 24/06 A3019 RMK AO2 SLP225 T02440061 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T14:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","43","74","0.00",,,,"33","30.19","FEW:02 80 SCT:04 100 BKN:07 230","29.58","10.00","57","280",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11406/01/21 14:54:02 METAR KROC 011954Z 28009KT 10SM FEW080 SCT100 BKN230 23/06 A3018 RMK AO2 SLP222 T02330061 $ (MP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T15:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","42","75","0.00",,"+0.02","6","31","30.18","BKN:07 60 BKN:07 200","29.58","10.00","57","310",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11306/01/21 15:54:02 METAR KROC 012054Z 31006KT 10SM BKN060 BKN200 24/06 A3018 RMK AO2 SLP221 T02390056 56007 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T16:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","43","76","0.00",,,,"31","30.18","BKN:07 60 BKN:07 200","29.58","10.00","58","280","16","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11006/01/21 16:54:02 METAR KROC 012154Z 28010G14KT 10SM BKN060 BKN200 24/06 A3018 RMK AO2 SLP221 T02440061 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T17:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","43","74","0.00",,,,"33","30.18","FEW:02 60 BKN:07 200","29.57","10.00","57","310",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10706/01/21 17:54:02 METAR KROC 012254Z 31008KT 10SM FEW060 BKN200 23/06 A3017 RMK AO2 SLP220 T02330061 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
"72529014768","2021-06-01T18:54:00","FM-15","7",,,,,"TEMP, PRECIP",,,"SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","43","72","0.00",,"-0.00","3","35","30.19","FEW:02 60 SCT:04 200","29.58","10.00","56","270",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12506/01/21 18:54:02 METAR KROC 012354Z 27005KT 10SM FEW060 SCT200 22/06 A3018 RMK AO2 SLP222 T02220061 10250 20222 53001 $ (WL)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008-10-20"
