"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72505394728","2021-06-01T00:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","53","57","0.00",,"-0.00","0","87","30.23","CLR:00","30.09","10.00","55","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11406/01/21 00:51:02 METAR KNYC 010551Z 00000KT 10SM CLR 14/12 A3026 RMK AO2 SLP237 T01390117 10194 20139 50001 $ RTX","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T01:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","53","57","0.00",,,,"87","30.23","CLR:00","30.09","10.00","55","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09206/01/21 01:51:02 METAR KNYC 010651Z 00000KT 10SM CLR 14/12 A3026 RMK AO2 SLP237 T01390117 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T02:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","52","58","0.00",,,,"81","30.24","CLR:00","30.09","10.00","55","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09206/01/21 02:51:02 METAR KNYC 010751Z 00000KT 10SM CLR 14/11 A3026 RMK AO2 SLP239 T01440111 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T03:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.27","49","57","0.00",,"-0.01","3","74","30.25","CLR:00","30.10","10.00","53","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09806/01/21 03:51:02 METAR KNYC 010851Z 00000KT 10SM CLR 14/09 A3027 RMK AO2 SLP243 T01390094 53005 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T04:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.28","49","58","0.00",,,,"72","30.25","CLR:00","30.11","10.00","53","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09206/01/21 04:51:02 METAR KNYC 010951Z 00000KT 10SM CLR 14/09 A3028 RMK AO2 SLP243 T01440094 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T05:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.29","52","58","0.00",,,,"81","30.27","CLR:00","30.12","10.00","55","300",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 05:51:02 METAR KNYC 011051Z 30004KT 10SM CLR 14/11 A3029 RMK AO2 SLP249 T01440111","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T06:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.30","51","61","0.00",,"-0.02","3","70","30.27","CLR:00","30.13","10.00","56","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10806/01/21 06:51:02 METAR KNYC 011151Z 00000KT 10SM CLR 16/11 A3030 RMK AO2 SLP251 T01610106 10161 20139 53008","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T07:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.30","49","63","0.00",,,,"60","30.27","CLR:00","30.13","10.00","55","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 07:51:02 METAR KNYC 011251Z 00000KT 10SM CLR 17/09 A3030 RMK AO2 SLP252 T01720094","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T08:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.30","50","67","0.00",,,,"55","30.27","CLR:00","30.13","10.00","58","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 08:51:02 METAR KNYC 011351Z 00000KT 10SM CLR 19/10 A3030 RMK AO2 SLP252 T01940100","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
"72505394728","2021-06-01T09:51:00","FM-15","7",,"ESE","0.5","mi","SNOW",,,"SNOWBOARD",,,"CENTRAL PARK ZOO",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.29","52","69","0.00",,"+0.01","8","55","30.27","CLR:00","30.12","10.00","59","VRB",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09606/01/21 09:51:02 METAR KNYC 011451Z VRB03KT 10SM CLR 21/11 A3029 RMK AO2 SLP249 T02060111 58002","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-09-18"
