"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72622394725","2021-06-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","38","55","0.00",,"+0.00","5","53","30.14","CLR:00","29.91","10.00","47","230",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10806/01/21 00:53:02 METAR KMSS 010553Z 23007KT 10SM CLR 13/03 A3014 RMK AO2 SLP207 T01280033 10194 20106 55001","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","39","54","0.00",,,,"57","30.15","CLR:00","29.92","10.00","47","230",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 01:53:02 METAR KMSS 010653Z 23009KT 10SM CLR 12/04 A3015 RMK AO2 SLP210 T01220039","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.16","39","53","0.00",,,,"59","30.16","CLR:00","29.93","10.00","46","220",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 02:53:02 METAR KMSS 010753Z 22007KT 10SM CLR 12/04 A3016 RMK AO2 SLP213 T01170039","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","40","55","0.00",,"-0.03","3","57","30.17","BKN:07 100","29.94","10.00","48","230",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09906/01/21 03:53:02 METAR KMSS 010853Z 23008KT 10SM BKN100 13/04 A3017 RMK AO2 SLP217 T01280044 53011","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.16","40","56","T",,,,"55","30.16","BKN:07 85 OVC:08 110","29.93","10.00","48","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11506/01/21 04:53:02 METAR KMSS 010953Z 00000KT 10SM BKN085 OVC110 13/04 A3016 RMK AO2 RAB36E45 SLP214 P0000 T01330044","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.19","41","56","T",,,,"57","30.19","SCT:04 90 BKN:07 110","29.96","10.00","49","220",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11506/01/21 05:53:02 METAR KMSS 011053Z 22006KT 10SM SCT090 BKN110 13/05 A3019 RMK AO2 RAB16E25 SLP222 P0000 T01330050","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.19","43","57","T",,"-0.02","3","60","30.19","FEW:02 65 BKN:07 80 BKN:07 100","29.96","10.00","50","210",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14606/01/21 06:53:02 METAR KMSS 011153Z 21006KT 10SM FEW065 BKN080 BKN100 14/06 A3019 RMK AO2 RAB16E41 SLP224 P0000 60000 T01390061 10139 20117 53006","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.19","43","61","0.00",,,,"52","30.19","CLR:00","29.96","10.00","52","210",,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 07:53:02 METAR KMSS 011253Z 21013KT 10SM CLR 16/06 A3019 RMK AO2 SLP223 T01610061","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.19","43","64","0.00",,,,"46","30.19","CLR:00","29.96","10.00","53","240",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09006/01/21 08:53:02 METAR KMSS 011353Z 24008KT 10SM CLR 18/06 A3019 RMK AO2 SLP224 T01780061","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
"72622394725","2021-06-01T09:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.18","44","68","0.00",,"+0.01","8","42","30.18","FEW:02 110","29.95","10.00","55","230",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09906/01/21 09:53:02 METAR KMSS 011453Z 23012KT 10SM FEW110 20/07 A3018 RMK AO2 SLP221 T02000067 58003","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005-11-17"
