"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72528014733","2021-06-01T00:54:00","FM-15","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","43","58","0.00",,"+0.02","8","58","30.22","BKN:07 130 OVC:08 250","29.46","10.00","50","200",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12506/01/21 00:54:02 METAR KBUF 010554Z 20006KT 10SM BKN130 OVC250 14/06 A3022 RMK AO2 SLP233 T01440061 10167 20144 58007 $ (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T01:00:00","FM-12","4",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","58",,,"+0.02","8","58","30.22",,"29.42","9.94","50","200",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072528 32966 82006 10144 20061 39964 40233 58007 90554 333 10194 20117 555 90106=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T01:54:00","FM-15","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","42","58","0.00",,,,"56","30.21","BKN:07 130 OVC:08 250","29.45","10.00","50","170",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10706/01/21 01:54:02 METAR KBUF 010654Z 17005KT 10SM BKN130 OVC250 14/06 A3021 RMK AO2 SLP230 T01440056 $ (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T02:54:00","FM-15","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","42","58","0.00",,,,"56","30.21","OVC:08 100","29.45","10.00","50","170",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10006/01/21 02:54:02 METAR KBUF 010754Z 17003KT 10SM OVC100 14/06 A3021 RMK AO2 SLP229 T01440056 $ (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T03:00:00","SHEF ","4",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHEF ","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T03:54:00","FM-15","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","43","57","0.00",,"-0.01","3","60","30.23","OVC:08 100","29.47","10.00","50","200",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10606/01/21 03:54:02 METAR KBUF 010854Z 20006KT 10SM OVC100 14/06 A3023 RMK AO2 SLP238 T01390061 53005 $ (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T04:00:00","FM-12","4",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","57",,,"-0.01","3","60","30.23",,"29.43","9.94","50","200",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06472528 32966 82006 10139 20061 39967 40238 53005 90854 555 90109=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T04:54:00","FM-15","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","43","57","0.00",,,,"60","30.24","BKN:07 100 OVC:08 250","29.48","10.00","50","180",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10706/01/21 04:54:02 METAR KBUF 010954Z 18004KT 10SM BKN100 OVC250 14/06 A3024 RMK AO2 SLP240 T01390061 $ (RD)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T05:54:00","FM-15","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","*","*","0.00",,,,"*",,"BKN:07 120 OVC:08 250","29.47","10.00","*","140",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET07906/01/21 05:54:02 METAR KBUF 011054Z 14006KT 10SM BKN120 OVC250 15/06 A3023 RMK","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72528014733","2021-06-01T05:55:00","FM-16","7",,"ENE","1","mi","PRECIP, SNOW",,,"SRG, WEIGHT-IN, SNOWBOARD",,,"WFO BUF",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","42","59",,,,,"54",,"BKN:07 120 OVC:08 250","29.47","10.00","50","140",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10006/01/21 05:55:02 SPECI KBUF 011055Z 14006KT 10SM BKN120 OVC250 15/06 A3023 RMK AO2 T01500056 $ (RD)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
